spectra,Se_real,Se_predicted,LOD_real,LOD_predicted,UNC_real,UNC_predicted,mask,Se_ratio
4e_data_00001,0.577,0.58994406,0.0741,0.07395622,0.0248,0.025275389,train,1.0224333875513987
4e_data_00002,0.663,0.670876,0.0156,0.01535544,0.012,0.0122532565,train,1.0118793757972313
4e_data_00003,0.562,0.56373936,0.025600000000000005,0.02692324,0.0137,0.013394857,train,1.003094945513905
4e_data_00004,0.516,0.5182481,0.0352,0.034035306,0.014399999999999998,0.014066095,train,1.0043567465257275
4e_data_00005,0.514,0.5217619,0.0362,0.035472646,0.0178,0.014852542,train,1.0151009615293272
4e_data_00006,0.49,0.50680095,0.05740000000000001,0.051784527,0.0207,0.019585188,train,1.0342876521908506
4e_data_00007,0.64,0.6464586,0.023,0.023547595,0.0134,0.013683236,train,1.0100916028022766
4e_data_00008,0.872,0.8767652,0.019,0.019415919,0.018,0.01800055,train,1.0054646692144762
4e_data_00009,0.639,0.6445135,0.0144,0.015474966,0.0131,0.013782322,train,1.0086283064410906
4e_data_00010,0.725,0.73034745,0.0267,0.02672816,0.027000000000000003,0.0256092,train,1.0073757993763892
4e_data_00011,0.713,0.7195734,0.0211,0.02235267,0.014399999999999998,0.015102173,train,1.009219324772689
4e_data_00012,0.693,0.6950697,0.0225,0.02328582,0.0203,0.019033842,train,1.002986537773716
4e_data_00013,0.573,0.57640266,0.022899999999999997,0.023605658,0.0129,0.014184979,train,1.005938331910245
4e_data_00014,0.79,0.78806996,0.028900000000000002,0.029702757,0.0166,0.016919533,train,0.9975569157660762
4e_data_00015,0.608,0.6076461,0.0551,0.05227813,0.0206,0.020681357,train,0.9994179402527057
4e_data_00016,0.604,0.5986337,0.0323,0.03209297,0.0153,0.014576604,train,0.9911154082279332
4e_data_00017,0.673,0.6741,0.0267,0.027457602,0.0175,0.016828367,train,1.0016344454454986
4e_data_00018,0.842,0.8425667,0.0406,0.040555518,0.019899999999999998,0.02004007,train,1.0006730743371959
4e_data_00019,0.516,0.51405144,0.0248,0.025029492,0.013000000000000001,0.012692809,train,0.996223715848701
4e_data_00020,0.638,0.6431152,0.0204,0.021484233,0.0134,0.014062364,train,1.008017590053403
4e_data_00021,0.677,0.67893255,0.021199999999999997,0.020939916,0.0142,0.014321895,train,1.002854575434675
4e_data_00022,0.686,0.69174814,0.0213,0.021039417,0.0153,0.0149184335,train,1.008379216096839
4e_data_00023,0.628,0.6280808,0.0198,0.020126771,0.0127,0.012766865,train,1.0001286389721427
4e_data_00024,0.506,0.513348,0.0424,0.04140284,0.015399999999999999,0.015392492,train,1.0145217062456335
4e_data_00025,0.477,0.48091915,0.027500000000000004,0.02724503,0.013000000000000001,0.012688981,train,1.0082162526168663
4e_data_00026,0.661,0.65010893,0.05970000000000001,0.055782814,0.0201,0.019794226,train,0.9835233486365983
4e_data_00027,0.655,0.6540148,0.0149,0.015344823,0.0122,0.01279209,train,0.9984959172838517
